n_components,R2_CV,R2_Cal,RMSE_CV,RMSE_Cal
1,-287.1055290118006,0.5961479291836718,6.711937292010924,4.969295967107094
2,-262.29811836178436,0.8175988259792183,6.2983872160177805,3.3396235993881325
3,-265.75895396439796,0.8963676193290239,5.243464080971297,2.5172795295968964
4,-300.28231342628214,0.9435085888739392,5.149533611583542,1.8585528631543649
5,-267.3806521060568,0.9587906936324643,4.622600370222612,1.587381662268225
6,-155.97083419407053,0.9744061113461392,4.446372300340596,1.2509842582089918
7,-206.15541596595835,0.9846936330580808,4.343287119043118,0.9674304815944541
8,-235.6438634649576,0.9899712408794167,4.672717182484813,0.7830821179319298
9,-247.7849824565756,0.9961055654167698,4.6999970664119,0.48798437152002927
10,-245.75923866799624,0.9988070701151683,4.656772086978925,0.27007921703171983
