n_components,R2_CV,R2_Cal,RMSE_CV,RMSE_Cal
1,0.015159610968432685,0.1839437159737255,0.1956191239627937,0.1863054255850443
2,0.058994028462509576,0.24827794038792705,0.18901221263120618,0.17881094294048827
3,0.14087474150497392,0.333260543547487,0.18155770468132892,0.16840055722934183
4,0.15237846955848286,0.3840458347395451,0.18041110308252992,0.16186004026462233
5,0.20017947166759548,0.4170520594580823,0.17614913743167238,0.1574636564981069
6,0.17785888202158082,0.4636529329619389,0.17920159475503192,0.15103875632662647
7,0.1199632669219698,0.5254065081170597,0.18352236547490788,0.14207783645859393
8,0.0855439139974442,0.5604486321522101,0.18822995128253836,0.1367320306959951
9,0.06562896196762662,0.6055876752390168,0.19206544016636135,0.12952114786534222
10,0.05168187387909816,0.6400510711566708,0.1941235041125827,0.12373309851943654
