n_components,R2_CV,R2_Cal,RMSE_CV,RMSE_Cal
1,-2.028760160548188,0.6060750196903164,4.6282442644401165,3.3916075584331558
2,-0.9751986865707195,0.7036379320104624,4.162793005103698,2.9417796661406017
3,-0.9486710714958022,0.746306795599109,4.210412912712345,2.721781453949847
4,-1.2920952572166058,0.7764761549902547,4.328416733674554,2.5548226818833437
5,-1.4442087731189264,0.8172569489655233,4.378757839403992,2.3100387720359765
6,-1.879488498097702,0.8543936890388921,4.62443871544833,2.062001291145439
7,-2.001674458653358,0.8742680336834984,4.677276915551344,1.9161155141028003
8,-1.6196829387766485,0.8853359352645457,4.290176340509115,1.8298374004300857
9,-1.7332894422805236,0.899595308030011,4.074926956102107,1.712284153665867
10,-1.479501396146355,0.9071604698665746,3.8311463080022365,1.6465135168862277
