n_components,R2_CV,R2_Cal,RMSE_CV,RMSE_Cal
1,-130.62714613766155,0.6142922144859781,2.8958626883284055,2.0447177603931497
2,-26.879426990208692,0.8589940005228242,2.3281782278598495,1.236297418271632
3,-43.8025038877909,0.8897598665114415,2.04373606095577,1.0931355843072612
4,-65.60581327123776,0.9090819945193166,2.3186419886524234,0.9927253603329866
5,-52.11729965577963,0.9621198518860248,2.1277087896725546,0.6407815533670099
6,-38.59813420695294,0.977071325068934,2.116012632311884,0.49853269453481835
7,-34.66568079282487,0.9940601806442478,2.1988268830215643,0.2537410807472297
8,-23.631408916673415,0.9981465799774532,2.0517384695476117,0.1417395637969828
9,-26.00122183603129,0.9988255450031697,1.9975690356427134,0.11282942026581437
10,-19.60186315665372,0.9995196588473182,1.9307857964863435,0.07215709901838734
